时间,id,字段,原值,新值
2026-09-08 05:08,A001,创建,,示例科技 后端开发工程师（offer）
2026-09-08 05:08,A002,创建,,云帆智算 数据平台开发工程师（三面）
2026-09-08 05:08,A003,创建,,星河物流 后端开发工程师(Go)（笔试）
2026-09-08 05:08,A004,创建,,蓝湖数科 后端开发工程师（已投）
2026-09-08 05:08,A005,创建,,极光支付 后端开发工程师（一面）
2026-09-08 05:08,A006,创建,,青梧文档 平台开发工程师（已挂）
2026-09-08 05:08,A007,创建,,白泽安全 安全开发工程师（待投）
2026-09-08 05:08,A008,创建,,沧澜云 存储研发工程师（已放弃）
2026-09-08 05:08,A001,面试,,一面 2026-08-20 14:00（I001）
2026-09-08 05:08,A002,面试,,二面 2026-09-05 10:00（I002）
2026-09-08 05:08,A005,面试,,一面 2026-08-25 19:30（I003）
2026-09-08 05:09,A001,offer,,O001（2026-09-20）
